SMILES
CSCCC=O
CCC(C)C=O
CC(=O)C(C)=O
CCCCC/C=C/C=C/C=O
CC1OC(=C(O)C1=O)C
CCCCCC=O
CC1OC(=O)C(=C1C)O
CCCCCC(=O)C=C
CC(O)=O
CC=O
CCOC(=O)C(C)CC
CCCCCC\C=C\C=O
COC1=C(C=CC(=C1)C=O)O
CC(=O)C1=NCCC1
CCC(C)C(O)=O
CCCC(O)=O
CC(C)=CCCC(C)(O)C=C
C/C=C/C(=O)C1=C(C)C=CCC1(C)C
CCCC(=O)OCC
CC\C=C/CC=O
COC1=CC=CC=C1O
CC(C)C=O
CCCCCC1C(O1)C=CC=O
C1=CC=C(C=C1)CCO
C1=CC=C(C=C1)CC=O
CCOC(=O)C(C)C
CCCC\C=C\C=C\C=O
CCC1=NC=C(N=C1C)C
CSSSC
C1=CC=C(C=C1)CC(=O)O
CC\C=C/CC(=O)C=C
CCC1=NC=C(N=C1CC)C
CCCCCC(=O)OCC
CC/C=C/CC\C=C\C=O
C1=COC(=C1)CS
CC(C)C1=NC=CN=C1OC
CC(C)CCO
CCCCCC\C=C/C=O
CSC
COC1=C(C=CC(=C1)C=C)O
CS
CCC(=O)C(C)=O
CCCCCC1CCCC(=O)O1
CC/C=C/CCC=O
CCCCC[C@H]1CCC(=O)O1
CCCCCCCC=O
CCC1=CC(=C(C=C1)O)OC
CCCCCC(=O)C(C)C(=O)C
CC(=O)OCCC1=CC=CC=C1
CCO
CC1=CCC2CC1C2(C)C
CC(C)CC1=NC=CN=C1OC
CC(=O)C1=NCCS1
CCCCCCCC(=O)OCC
CC(C)=CCCC(=C)C=C
CCCCC\C=C/C=C/C=O
COC1=C(C=CC(=C1)CC=C)O
CCCCCCC1CCC(=O)O1
CCC=O
CC(=C)C1CCC(=CC1)C
CC(C)CCOC(C)=O
CCCC[C@H]1OC(=O)C[C@H]1C
CCCCCCCCC1CCC(=O)O1
CCCCCC(O)=O
CC(=O)/C=C/C1=C(C)CCCC1(C)C
CC1=C(C=CO1)S
CC1=CC=C(C=C1)O
CCC(C)C1=NC=CN=C1OC
CCCCCCCCC=O
CCC1OC(=C(O)C1=O)C
CCOC(C)OCC
C1=CC=C(C=C1)C(=O)CN
CCC(C)C(=O)OC
CC\C=C/CCO
CC1=CNC2=CC=CC=C12
CC(C)C(O)=O
CCCCCCCCCC=O
CCCCC\C=C/CC1CCC(=O)O1
CC(C)=CCC\C(C)=C\CO
CCC=CCC=CCC=O
CCC=CC=CC=CC=O
CCCCCCCCCC(O)=O
COC1=C(C=CC(=C1)CC=C)O
CCCCCCO
CCC(C)CO
CCCCCC1=CC=CC=N1
CC12CCC(CC1)C(C)(C)O2
CCC(S)C(C)=O
CC1C2CCC(=CC2OC1=O)C
CCC1=NC(=CN=C1C)C
CCC1=CC(=CC=C1)O
CCC/C=C/C=O
CSCCCO
CCCCCCCC(O)=O
