Cluster,Index,SMILES,PubChem Name
1,56,CCCCCC\C=C/C=O,(Z)-non-2-enal
2,34,CCC(=O)O,propanoic acid
3,53,CCCCCC(=O)OCC,ethyl hexanoate
4,37,CCC(C)C=O,2-methylbutanal
5,131,CCCSSCCC,1-(propyldisulfanyl)propane
