SMILES
CCCCOC(=O)C(C)OC(=O)CCC
CCCCC(=O)O
CC(C)CCC(=O)O
C1C2CC(C1C=C2)C(=O)O
CCCC(C)C(=O)O
CCC(C)CC(=O)O
CCCCCCCC=CC(=O)O
CC(C)CC(=O)O
CCCCCCCCC(=O)O
CCC(C)CC(=O)O
CC(C)CCC(=O)O
CCCC(=O)O
CCC(C)C(=O)O
C1CC(C1)C(=O)O
C1=CC=C(C=C1)C=O
CC(C(C)O)O
C1=CC=C2C(=C1)C=CC(=O)O2
CCCCCCCC(=O)O
CCCCCCCC=O
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2
COC1=C(C=C(C=C1)CC=C)OC
CC1=CC=C(C=C1)C(C)C
CCCCCCCC1CCC(=O)O1
CCCCCCCC(=O)OCC
C1CCNCC1
CCCCCCC(=O)O
CCCCCCC=CC(=O)O
CCCCCC(C)CCC(=O)O
CCCCCCN
CCCCCCO
CCCCCCCCS
CCCCCCCCC(=O)O
CC(=O)OCC1=CC=CC=C1
CCCCCCOC(=O)C
CCCCCOC(=O)CC
C=CCOC(=O)CC1=CC=CC=C1
CCCCCC(=O)O
CCCCCCOC(=O)C
CCCCCCCCC=O
CCCCCC(=O)C=C
CC1=CCC(CC1=O)C(=C)C
CC(=CCCC(=CCO)C)C
CCCC=CC=O
COC1=CC=CC=C1O
CCC(=O)[O-]
CCCCCCCO
CCCCCCC=O
COC(=O)C1=CC=CC=C1O
CC1CCC(C(C1)O)C(C)C
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
CSSC
CSSCC1=CC=CO1
CCCCCO
CCC=O
C1=CN=CC=N1
CC(C)CCOC(=O)C
CCC(=O)O
CC12CCC3C(C1CCC2=O)CCC4=CC(=O)CCC34CO
CC1=C(C(CCC1)(C)C)C=CC(=O)C
CC1=CCCC(C1C=CC(=O)C)(C)C
CC(=O)[O-]
CCOC(=O)C(C)C
CCCCC[C@H]1CCC(=O)O1
CC/C=C/CCC=O
CCCCCC1CCCC(=O)O1
CS
COC1=C(C=CC(=C1)C=C)O
CSC
CC(C)C1=NC=CN=C1OC
CC/C=C/CC\C=C\C=O
CCC1=NC=C(N=C1C)C
